"Defunciones por edad, según sexo y causas de muerte, año 2009",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Edad,Causa de muerte,Total,Hombres,Mujeres
Todas las edades,Todas las causas,71707,41354,30353
Todas las edades,"Neumonía, organismo no especificado",7013,3770,3243
Todas las edades,"Agresión con disparo de otras armas de fuego, y las no especificadas",5000,4512,488
Todas las edades,Exposición a factores no especificados,3693,3077,616
Todas las edades,Infarto agudo del miocardio,3410,1843,1567
Todas las edades,"Diabetes mellitus, no especificada",2997,1275,1722
Todas las edades,Diarrea y gastroenteritis de presunto origen infeccioso,2502,1340,1162
Todas las edades,"Desnutrición proteicocalórica, no especificada",2031,931,1100
Todas las edades,Fibrosis y cirrosis del hígado,1738,1162,576
Todas las edades,Insuficiencia cardíaca,1720,846,874
Todas las edades,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",1517,709,808
Todas las edades,Tumor maligno del estómago,1404,644,760
Todas las edades,Trastornos mentales y del comportamiento debidos al uso de alcohol,1178,1079,99
Todas las edades,Tumor maligno del hígado y de las vías biliares intrahepáticas,1130,559,571
Todas las edades,Diabetes mellitus no insulinodependiente,989,418,571
Todas las edades,Otras septicemias,934,500,434
Todas las edades,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",5104,2536,2568
Todas las edades,Otras causas,29347,16153,13194
Menos de 1 día,Todas las causas,2,2,0
Menos de 1 día,Hipoxia intrauterina,1,1,0
Menos de 1 día,Otras alteraciones de la regulación de la temperatura en el recién nacido,1,1,0
1- 6 días,Todas las causas,1713,983,730
1- 6 días,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",350,196,154
1- 6 días,Sepsis bacteriana del recién nacido,223,134,89
1- 6 días,Dificultad respiratoria del recién nacido,212,144,68
1- 6 días,Síndromes de aspiración neonatal,174,92,82
1- 6 días,Neumonía congénita,117,57,60
1- 6 días,Hipoxia intrauterina,89,44,45
1- 6 días,"Otras malformaciones congénitas, no clasificadas en otra parte",86,43,43
1- 6 días,Asfixia del nacimiento,29,12,17
1- 6 días,Trastornos cardiovasculares originados en el período perinatal,27,18,9
1- 6 días,Otras malformaciones congénitas del corazón,26,13,13
1- 6 días,"Neumonía, organismo no especificado",21,17,4
1- 6 días,"Otros problemas respiratorios del recién nacido, originados en el período perinatal",20,11,9
1- 6 días,Coagulación intravascular diseminada en el feto y el recién nacido,20,13,7
1- 6 días,Otras alteraciones de la regulación de la temperatura en el recién nacido,19,8,11
1- 6 días,Otras afecciones originadas en el período perinatal,15,14,1
1- 6 días,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",45,26,19
1- 6 días,Otras causas,240,141,99
