Edad,Causa de muerte,Total,Hombres,Mujeres
Todas las edades,Todas las causas,81726,45726,36000
Todas las edades,"Neumonía, organismo no especificado",6840,3639,3201
Todas las edades,Infarto agudo del miocardio,5524,2989,2535
Todas las edades,"Diabetes mellitus, no especificada",4472,1822,2650
Todas las edades,"Agresión con disparo de otras armas de fuego, y las no especificadas",2944,2577,367
Todas las edades,Exposición a factores no especificados,2741,2212,529
Todas las edades,Fibrosis y cirrosis del hígado,2388,1563,825
Todas las edades,Otras gastroenteritis y colitis de origen infeccioso y no especificado,1891,976,915
Todas las edades,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",1617,767,850
Todas las edades,Diabetes mellitus no insulinodependiente,1524,609,915
Todas las edades,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",1516,1277,239
Todas las edades,Enfermedad renal crónica,1487,780,707
Todas las edades,Insuficiencia cardíaca,1464,659,805
Todas las edades,Tumor maligno del hígado y de las vías biliares intrahepáticas,1427,673,754
Todas las edades,Tumor maligno del estómago,1236,585,651
Todas las edades,Otras sepsis,1056,563,493
Todas las edades,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",9295,4839,4456
Todas las edades,Otras causas,34304,19196,15108
Menos de 1 día,Todas las causas,671,386,285
Menos de 1 día,Dificultad respiratoria del recién nacido,107,62,45
Menos de 1 día,"Otras malformaciones congénitas, no clasificadas en otra parte",104,57,47
Menos de 1 día,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",81,50,31
Menos de 1 día,Asfixia del nacimiento,64,46,18
Menos de 1 día,Síndromes de aspiración neonatal,51,28,23
Menos de 1 día,Anencefalia y malformaciones congénitas similares,28,10,18
Menos de 1 día,Sepsis bacteriana del recién nacido,24,18,6
Menos de 1 día,Otras malformaciones congénitas del corazón,23,13,10
Menos de 1 día,Otras enfermedades cardiopulmonares,14,6,8
Menos de 1 día,Neumonía congénita,14,6,8
Menos de 1 día,Agenesia renal y otras malformaciones hipoplásicas del riñón,13,9,4
Menos de 1 día,Malformaciones congénitas del pulmón,11,5,6
Menos de 1 día,Trastornos cardiovasculares originados en el período perinatal,9,6,3
Menos de 1 día,Otras afecciones originadas en el período perinatal,9,5,4
Menos de 1 día,"Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",9,5,4
Menos de 1 día,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",23,15,8
Menos de 1 día,Otras causas,87,45,42
1- 6 días,Todas las causas,1822,1101,721
1- 6 días,Dificultad respiratoria del recién nacido,397,250,147
1- 6 días,Sepsis bacteriana del recién nacido,226,138,88
1- 6 días,Neumonía congénita,164,103,61
1- 6 días,Trastornos cardiovasculares originados en el período perinatal,117,73,44
1- 6 días,Síndromes de aspiración neonatal,108,63,45
1- 6 días,Asfixia del nacimiento,89,63,26
1- 6 días,"Otras malformaciones congénitas, no clasificadas en otra parte",76,40,36
1- 6 días,Otras malformaciones congénitas del corazón,70,47,23
1- 6 días,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",66,38,28
1- 6 días,Hemorragia pulmonar originada en el período perinatal,46,24,22
1- 6 días,Coagulación intravascular diseminada en el feto y el recién nacido,45,26,19
1- 6 días,"Enfisema intersticial y afecciones relacionadas, originadas en el período perinatal",28,15,13
1- 6 días,Enterocolitis necrotizante del feto y del recién nacido,24,12,12
1- 6 días,"Otros problemas respiratorios del recién nacido, originados en el período perinatal",21,14,7
1- 6 días,"Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",12,8,4
1- 6 días,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",82,47,35
1- 6 días,Otras causas,251,140,111
7 - 27 días,Todas las causas,1448,859,589
7 - 27 días,Neumonía congénita,277,167,110
7 - 27 días,Sepsis bacteriana del recién nacido,232,141,91
7 - 27 días,Dificultad respiratoria del recién nacido,116,76,40
7 - 27 días,Trastornos cardiovasculares originados en el período perinatal,60,34,26
7 - 27 días,Otras malformaciones congénitas del corazón,55,26,29
7 - 27 días,Coagulación intravascular diseminada en el feto y el recién nacido,46,27,19
