Edad,Causa de muerte,Total,Hombres,Mujeres
Todas las edades,Todas las causas,83071,45784,37287
Todas las edades,"Neumonía, organismo no especificado",6250,3293,2957
Todas las edades,Infarto agudo del miocardio,5527,2963,2564
Todas las edades,"Diabetes mellitus, no especificada",4637,1797,2840
Todas las edades,Exposición a factores no especificados,2728,2175,553
Todas las edades,Fibrosis y cirrosis del hígado,2601,1649,952
Todas las edades,"Agresión con disparo de otras armas de fuego, y las no especificadas",2583,2248,335
Todas las edades,Otras gastroenteritis y colitis de origen infeccioso y no especificado,1816,920,896
Todas las edades,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",1670,833,837
Todas las edades,Diabetes mellitus no insulinodependiente,1657,652,1005
Todas las edades,"Accidente de vehículo de motor o sin motor, tipo de vehículo no especificado",1616,1327,289
Todas las edades,Enfermedad renal crónica,1584,823,761
Todas las edades,Tumor maligno del hígado y de las vías biliares intrahepáticas,1473,717,756
Todas las edades,Insuficiencia cardíaca,1406,660,746
Todas las edades,Tumor maligno del estómago,1218,564,654
Todas las edades,Insuficiencia renal no especificada,1031,530,501
Todas las edades,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",10695,5561,5134
Todas las edades,Otras causas,34579,19072,15507
Menos de 1 día,Todas las causas,634,343,291
Menos de 1 día,Dificultad respiratoria del recién nacido,106,67,39
Menos de 1 día,"Otras malformaciones congénitas, no clasificadas en otra parte",102,54,48
Menos de 1 día,Asfixia del nacimiento,78,44,34
Menos de 1 día,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",65,33,32
Menos de 1 día,Síndromes de aspiración neonatal,45,20,25
Menos de 1 día,Anencefalia y malformaciones congénitas similares,32,11,21
Menos de 1 día,Otras malformaciones congénitas del corazón,23,11,12
Menos de 1 día,Sepsis bacteriana del recién nacido,18,16,2
Menos de 1 día,Otras enfermedades cardiopulmonares,16,12,4
Menos de 1 día,Malformaciones congénitas del pulmón,15,9,6
Menos de 1 día,Agenesia renal y otras malformaciones hipoplásicas del riñón,14,6,8
Menos de 1 día,"Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",10,7,3
Menos de 1 día,Neumonía congénita,9,5,4
Menos de 1 día,Hipoxia intrauterina,8,3,5
Menos de 1 día,"Enfisema intersticial y afecciones relacionadas, originadas en el período perinatal",5,2,3
Menos de 1 día,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",18,11,7
Menos de 1 día,Otras causas,70,32,38
1- 6 días,Todas las causas,1841,1050,791
1- 6 días,Dificultad respiratoria del recién nacido,399,226,173
1- 6 días,Sepsis bacteriana del recién nacido,194,115,79
1- 6 días,Neumonía congénita,151,98,53
1- 6 días,Síndromes de aspiración neonatal,128,75,53
1- 6 días,Trastornos cardiovasculares originados en el período perinatal,113,53,60
1- 6 días,Asfixia del nacimiento,110,67,43
1- 6 días,"Otras malformaciones congénitas, no clasificadas en otra parte",80,42,38
1- 6 días,Otras malformaciones congénitas del corazón,79,41,38
1- 6 días,"Trastornos relacionados con duración corta de la gestación y con bajo peso al nacer, no clasificados en otra parte",70,37,33
1- 6 días,Hemorragia pulmonar originada en el período perinatal,48,30,18
1- 6 días,Coagulación intravascular diseminada en el feto y el recién nacido,33,17,16
1- 6 días,"Enfisema intersticial y afecciones relacionadas, originadas en el período perinatal",29,14,15
1- 6 días,Enterocolitis necrotizante del feto y del recién nacido,26,13,13
1- 6 días,"Otros problemas respiratorios del recién nacido, originados en el período perinatal",18,10,8
1- 6 días,Hernia diafragmática,17,11,6
1- 6 días,"Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte",90,58,32
1- 6 días,Otras causas,256,143,113
7 - 27 días,Todas las causas,1474,850,624
7 - 27 días,Neumonía congénita,249,144,105
7 - 27 días,Sepsis bacteriana del recién nacido,228,125,103
7 - 27 días,Dificultad respiratoria del recién nacido,136,73,63
7 - 27 días,Enterocolitis necrotizante del feto y del recién nacido,61,31,30
7 - 27 días,Trastornos cardiovasculares originados en el período perinatal,60,32,28
7 - 27 días,Coagulación intravascular diseminada en el feto y el recién nacido,59,31,28
7 - 27 días,Otras malformaciones congénitas del corazón,57,33,24
7 - 27 días,Síndromes de aspiración neonatal,41,27,14
